"filename", "language", "PHP", "JavaScript", "JSON", "Markdown", "XML", "CSS", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\demo.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 261, 0, 1, 10, 272
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\font\fontello.svg", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 16, 43
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 7, 57
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\upload.scss", "SCSS", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 21, 152
"c:\Programy\Laragon\laragon\www\ftp\resources\views\app\assets.blade.php", "PHP", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 173
"c:\Programy\Laragon\laragon\www\ftp\resources\views\app\index.blade.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 86
"c:\Programy\Laragon\laragon\www\ftp\resources\views\app\layout.blade.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 94
"c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\login.blade.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 77
"c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\passwords\confirm.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\passwords\email.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\passwords\reset.blade.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 66
"c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\register.blade.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 78
"c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\verify.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Programy\Laragon\laragon\www\ftp\resources\views\home\index.blade.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Programy\Laragon\laragon\www\ftp\resources\views\home\layout.blade.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"c:\Programy\Laragon\laragon\www\ftp\resources\views\layouts\app.blade.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Programy\Laragon\laragon\www\ftp\routes\api.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\Programy\Laragon\laragon\www\ftp\routes\channels.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\Programy\Laragon\laragon\www\ftp\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\Programy\Laragon\laragon\www\ftp\routes\web.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 41
"c:\Programy\Laragon\laragon\www\ftp\server.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 22
"c:\Programy\Laragon\laragon\www\ftp\tests\CreatesApplication.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 23
"c:\Programy\Laragon\laragon\www\ftp\tests\Feature\ExampleTest.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\Programy\Laragon\laragon\www\ftp\tests\TestCase.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Programy\Laragon\laragon\www\ftp\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\Programy\Laragon\laragon\www\ftp\vendor\facade\ignition\resources\compiled\ignition.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 27, 0, 32
"c:\Programy\Laragon\laragon\www\ftp\vendor\facade\ignition\resources\compiled\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Programy\Laragon\laragon\www\ftp\webpack.mix.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"Total", "-", 2360, 1102, 31214, 0, 83, 809, 533, 273, 13, 1609, 1097, 39093
